DS_AIRLINE_CODE,DS_DEPARTURE_AIRPORT_CODE,DS_ARRIVAL_AIRPORT_CODE,DS_DEPARTURE_AIRPORT_TEMP_CEL,DS_DEPARTURE_AIRPORT_RAIN_MMHOUR,DS_DEPARTURE_AIRPORT_WIND_KMH,DS_DEPARTURE_AIRPORT_VIS_KM,DS_ARRIVAL_AIRPORT_TEMP_CEL,DS_ARRIVAL_AIRPORT_RAIN_MMHOUR,DS_ARRIVAL_AIRPORT_WIND_KMH,DS_ARRIVAL_AIRPORT_VIS_KM,DS_PREV_DELAY_MIN,DS_FINAL_DELAY_MIN,DS_FLIGHT_DURATION_MIN,DS_AIRLINE_RATING_NORM,DS_DEPARTURE_AIRPORT_RATING_NORM,DS_ARRIVAL_AIRPORT_RATING_NORM
TK,CDG,IST,14.10,0.00,6.70,36.30,19.00,0.00,13.30,72.50,-2.00,20.00,169,0.6744186,0.4571429,0.7575758
TK,CDG,IST,13.70,0.00,12.90,27.40,18.30,0.00,9.80,62.80,-2.00,-21.00,157,0.6744186,0.4571429,0.7575758
TK,CDG,IST,13.90,0.00,10.20,29.70,15.80,0.00,6.90,26.00,-12.00,-22.00,159,0.6744186,0.4571429,0.7575758
TK,CDG,IST,13.20,0.00,7.60,37.00,18.20,0.00,14.80,70.70,28.00,12.00,163,0.6744186,0.4571429,0.7575758
TK,CDG,IST,10.80,0.00,9.10,1.50,17.30,0.00,20.80,40.20,12.00,12.00,169,0.6744186,0.4571429,0.7575758
TK,CDG,IST,10.30,0.00,8.50,7.60,19.60,0.00,21.00,51.70,-20.00,-28.00,164,0.6744186,0.4571429,0.7575758
LH,FRA,GLA,11.10,0.00,7.70,49.80,15.40,0.30,20.20,50.00,7.00,20.00,101,0.4186047,0.4857143,0.6060606
LH,FRA,GLA,13.90,0.00,4.20,22.20,14.10,0.00,9.40,15.20,-18.00,5.00,95,0.4186047,0.4857143,0.6060606
LH,FRA,GLA,14.40,0.00,1.10,16.00,9.00,0.00,2.90,25.60,5.00,1.00,102,0.4186047,0.4857143,0.6060606
LH,FRA,GLA,13.30,0.00,3.70,17.80,12.80,0.30,18.00,12.20,-16.00,-7.00,92,0.4186047,0.4857143,0.6060606
QR,MXP,ORD,18.90,0.00,6.60,72.60,21.70,0.00,12.30,23.50,0.00,-27.00,543,0.8139535,0.4285714,0.6666667
QR,DOH,MXP,30.70,0.00,13.20,24.10,16.90,0.00,8.90,60.70,-11.00,0.00,351,0.8139535,0.8,0.4545455
QR,MXP,ORD,9.30,0.00,6.10,24.00,16.90,0.00,6.10,15.60,55.00,13.00,543,0.8139535,0.4285714,0.6666667
QR,DOH,MXP,28.30,0.00,6.80,24.10,12.70,0.00,6.80,8.70,2.00,55.00,350,0.8139535,0.8,0.4545455
AI,BLR,BOM,21.30,0.00,12.90,24.10,27.80,1.60,26.10,8.60,5.00,32.00,85,0.4186047,0.2571429,0.2121212
AZ,MLA,FCO,24.00,0.00,5.80,64.10,20.50,0.00,3.70,44.80,34.00,33.00,72,0.4883721,0.4571429,0.4545455
AZ,MLA,FCO,23.20,0.00,8.50,39.10,21.10,0.00,6.60,47.20,1.00,-11.00,74,0.4883721,0.4571429,0.4545455
AZ,MLA,FCO,22.50,0.00,3.80,21.30,22.20,0.00,9.00,63.60,5.00,6.00,68,0.4883721,0.4571429,0.4545455
AZ,MLA,FCO,25.10,0.00,6.10,66.00,21.20,0.00,3.30,43.10,-6.00,-19.00,72,0.4883721,0.4571429,0.4545455
QF,SYD,ADL,23.80,0.00,19.70,24.10,14.60,0.00,30.30,24.10,-18.00,9.00,108,0.7209302,0.6285714,0.7575758
QF,SYD,ADL,24.70,0.00,20.90,24.10,15.60,0.00,34.10,24.10,-9.00,-3.00,107,0.7209302,0.6285714,0.7575758
QF,SYD,ADL,24.30,0.00,16.30,24.10,14.40,0.10,35.60,9.60,2.00,3.00,107,0.7209302,0.6285714,0.7575758
QF,SYD,ADL,19.70,0.00,12.40,24.10,16.40,0.00,14.40,24.10,0.00,-10.00,108,0.7209302,0.6285714,0.7575758
QF,SYD,ADL,22.40,0.00,13.80,24.10,13.50,0.00,8.20,24.10,-12.00,-10.00,113,0.7209302,0.6285714,0.7575758
QF,SYD,ADL,26.20,0.00,11.40,24.10,15.10,0.00,14.40,24.10,-9.00,1.00,116,0.7209302,0.6285714,0.7575758
