airline;IATA_airline_code;flight_code
Brussels Airlines;SN;SN2900
Brussels Airlines;SN;SN2902
Brussels Airlines;SN;SN2906
Brussels Airlines;SN;SN2908
Brussels Airlines;SN;SN229
Brussels Airlines;SN;SN295
Brussels Airlines;SN;SN255
Brussels Airlines;SN;SN256
Brussels Airlines;SN;SN369
Brussels Airlines;SN;SN379
Brussels Airlines;SN;SN383
Brussels Airlines;SN;SN3352
Brussels Airlines;SN;SN3354
Brussels Airlines;SN;SN3358
Brussels Airlines;SN;SN2810
Brussels Airlines;SN;SN2812
Brussels Airlines;SN;SN2816
Brussels Airlines;SN;SN358
Brussels Airlines;SN;SN2258
Brussels Airlines;SN;SN2260
Brussels Airlines;SN;SN2268
Brussels Airlines;SN;SN3326
Brussels Airlines;SN;SN3334
Brussels Airlines;SN;SN3588
Brussels Airlines;SN;SN3594
Brussels Airlines;SN;SN3598
Brussels Airlines;SN;SN3604
Brussels Airlines;SN;SN3618
Brussels Airlines;SN;SN3622
Brussels Airlines;SN;SN3630
Brussels Airlines;SN;SN3632
Brussels Airlines;SN;SN3634
Brussels Airlines;SN;SN9902
Brussels Airlines;SN;SN3668
Brussels Airlines;SN;SN3676
Brussels Airlines;SN;SN224
Brussels Airlines;SN;SN2580
Brussels Airlines;SN;SN2582
Brussels Airlines;SN;SN2588
Brussels Airlines;SN;SN2590
Brussels Airlines;SN;SN2592
Brussels Airlines;SN;SN2608
Brussels Airlines;SN;SN2610
Brussels Airlines;SN;SN2612
Brussels Airlines;SN;SN2614
Brussels Airlines;SN;SN2616
Brussels Airlines;SN;SN2618
Brussels Airlines;SN;SN2624
Brussels Airlines;SN;SN2630
Brussels Airlines;SN;SN2642
Brussels Airlines;SN;SN2644
Brussels Airlines;SN;SN2646
Brussels Airlines;SN;SN2648
Brussels Airlines;SN;SN2650
Brussels Airlines;SN;SN2652
Brussels Airlines;SN;SN278
Brussels Airlines;SN;SN3246
Brussels Airlines;SN;SN3238
Brussels Airlines;SN;SN3260
Brussels Airlines;SN;SN3256
Brussels Airlines;SN;SN3258
Brussels Airlines;SN;SN3244
Brussels Airlines;SN;SN2206
Brussels Airlines;SN;SN3234
Brussels Airlines;SN;SN2204
Brussels Airlines;SN;SN3264
Brussels Airlines;SN;SN397
Brussels Airlines;SN;SN2826
Brussels Airlines;SN;SN2830
Brussels Airlines;SN;SN3290
Brussels Airlines;SN;SN3126
Brussels Airlines;SN;SN3132
Brussels Airlines;SN;SN3140
Brussels Airlines;SN;SN3146
Brussels Airlines;SN;SN3148
Brussels Airlines;SN;SN3150
Brussels Airlines;SN;SN3154
Brussels Airlines;SN;SN3160
Brussels Airlines;SN;SN3170
Brussels Airlines;SN;SN3108
Brussels Airlines;SN;SN3176
Brussels Airlines;SN;SN3182
Brussels Airlines;SN;SN3184
Brussels Airlines;SN;SN3202
Brussels Airlines;SN;SN3208
Brussels Airlines;SN;SN300
Brussels Airlines;SN;SN301
Brussels Airlines;SN;SN329
Brussels Airlines;SN;SN482
Brussels Airlines;SN;SN491
Brussels Airlines;SN;SN241
Brussels Airlines;SN;SN245
Brussels Airlines;SN;SN2372
Brussels Airlines;SN;SN3834
Brussels Airlines;SN;SN2284
Brussels Airlines;SN;SN2288
Brussels Airlines;SN;SN2548
Brussels Airlines;SN;SN2556
Brussels Airlines;SN;SN2560
Brussels Airlines;SN;SN3802
Brussels Airlines;SN;SN3804
Brussels Airlines;SN;SN3806
Brussels Airlines;SN;SN3828
Brussels Airlines;SN;SN3816
Brussels Airlines;SN;SN3820
Brussels Airlines;SN;SN3810
Brussels Airlines;SN;SN3812
Brussels Airlines;SN;SN202
Brussels Airlines;SN;SN204
Brussels Airlines;SN;SN206
Brussels Airlines;SN;SN3344
Brussels Airlines;SN;SN3772
Brussels Airlines;SN;SN3774
Brussels Airlines;SN;SN3698
Brussels Airlines;SN;SN3704
Brussels Airlines;SN;SN3706
Brussels Airlines;SN;SN3712
Brussels Airlines;SN;SN3794
Brussels Airlines;SN;SN3784
Brussels Airlines;SN;SN3800
Brussels Airlines;SN;SN3778
Brussels Airlines;SN;SN3788
Brussels Airlines;SN;SN3722
Brussels Airlines;SN;SN3728
Brussels Airlines;SN;SN3730
Brussels Airlines;SN;SN3732
Brussels Airlines;SN;SN3734
Brussels Airlines;SN;SN3736
Brussels Airlines;SN;SN3738
Brussels Airlines;SN;SN3766
Brussels Airlines;SN;SN3768
Brussels Airlines;SN;SN3782
Brussels Airlines;SN;SN3752
Brussels Airlines;SN;SN3754
Brussels Airlines;SN;SN2318
Brussels Airlines;SN;SN2324
Brussels Airlines;SN;SN2292
Brussels Airlines;SN;SN2294
Brussels Airlines;SN;SN2298
Brussels Airlines;SN;SN2712
Brussels Airlines;SN;SN2714
Brussels Airlines;SN;SN2722
Brussels Airlines;SN;SN2724
Brussels Airlines;SN;SN2726
Brussels Airlines;SN;SN2730
Brussels Airlines;SN;SN2732
Brussels Airlines;SN;SN3886
Brussels Airlines;SN;SN3894
Brussels Airlines;SN;SN455
Brussels Airlines;SN;SN465
Brussels Airlines;SN;SN467
Brussels Airlines;SN;SN2048
Brussels Airlines;SN;SN2064
Brussels Airlines;SN;SN2094
Brussels Airlines;SN;SN2096
Brussels Airlines;SN;SN2104
Brussels Airlines;SN;SN2106
Brussels Airlines;SN;SN2174
Brussels Airlines;SN;SN2184
Brussels Airlines;SN;SN502
Brussels Airlines;SN;SN516
Brussels Airlines;SN;SN2899
Brussels Airlines;SN;SN2901
Brussels Airlines;SN;SN2905
Brussels Airlines;SN;SN2907
Brussels Airlines;SN;SN329
Brussels Airlines;SN;SN255
Brussels Airlines;SN;SN301
Brussels Airlines;SN;SN455
Brussels Airlines;SN;SN369
Brussels Airlines;SN;SN379
Brussels Airlines;SN;SN383
Brussels Airlines;SN;SN3351
Brussels Airlines;SN;SN3353
Brussels Airlines;SN;SN3357
Brussels Airlines;SN;SN2809
Brussels Airlines;SN;SN2811
Brussels Airlines;SN;SN2815
Brussels Airlines;SN;SN357
Brussels Airlines;SN;SN2257
Brussels Airlines;SN;SN2259
Brussels Airlines;SN;SN2265
Brussels Airlines;SN;SN3325
Brussels Airlines;SN;SN3333
Brussels Airlines;SN;SN3587
Brussels Airlines;SN;SN3593
Brussels Airlines;SN;SN3597
Brussels Airlines;SN;SN3603
Brussels Airlines;SN;SN3617
Brussels Airlines;SN;SN3621
Brussels Airlines;SN;SN1635
Brussels Airlines;SN;SN3629
Brussels Airlines;SN;SN3631
Brussels Airlines;SN;SN3633
Brussels Airlines;SN;SN3667
Brussels Airlines;SN;SN3675
Brussels Airlines;SN;SN223
Brussels Airlines;SN;SN2579
Brussels Airlines;SN;SN2581
Brussels Airlines;SN;SN2587
Brussels Airlines;SN;SN2589
Brussels Airlines;SN;SN2591
Brussels Airlines;SN;SN2607
Brussels Airlines;SN;SN2609
Brussels Airlines;SN;SN2611
Brussels Airlines;SN;SN2613
Brussels Airlines;SN;SN2615
Brussels Airlines;SN;SN2617
Brussels Airlines;SN;SN2623
Brussels Airlines;SN;SN2629
Brussels Airlines;SN;SN2641
Brussels Airlines;SN;SN2643
Brussels Airlines;SN;SN2645
Brussels Airlines;SN;SN2647
Brussels Airlines;SN;SN2649
Brussels Airlines;SN;SN2651
Brussels Airlines;SN;SN277
Brussels Airlines;SN;SN295
Brussels Airlines;SN;SN3245
Brussels Airlines;SN;SN3237
Brussels Airlines;SN;SN3259
Brussels Airlines;SN;SN3255
Brussels Airlines;SN;SN3257
Brussels Airlines;SN;SN3243
Brussels Airlines;SN;SN2205
Brussels Airlines;SN;SN3233
Brussels Airlines;SN;SN2203
Brussels Airlines;SN;SN3263
Brussels Airlines;SN;SN2825
Brussels Airlines;SN;SN2829
Brussels Airlines;SN;SN3289
Brussels Airlines;SN;SN3125
Brussels Airlines;SN;SN3131
Brussels Airlines;SN;SN3139
Brussels Airlines;SN;SN3145
Brussels Airlines;SN;SN3147
Brussels Airlines;SN;SN3149
Brussels Airlines;SN;SN3153
Brussels Airlines;SN;SN3159
Brussels Airlines;SN;SN3169
Brussels Airlines;SN;SN3107
Brussels Airlines;SN;SN3175
Brussels Airlines;SN;SN3181
Brussels Airlines;SN;SN3183
Brussels Airlines;SN;SN3201
Brussels Airlines;SN;SN3207
Brussels Airlines;SN;SN229
Brussels Airlines;SN;SN299
Brussels Airlines;SN;SN481
Brussels Airlines;SN;SN2371
Brussels Airlines;SN;SN3833
Brussels Airlines;SN;SN2283
Brussels Airlines;SN;SN2287
Brussels Airlines;SN;SN2547
Brussels Airlines;SN;SN2555
Brussels Airlines;SN;SN2559
Brussels Airlines;SN;SN3801
Brussels Airlines;SN;SN3803
Brussels Airlines;SN;SN3805
Brussels Airlines;SN;SN3827
Brussels Airlines;SN;SN3815
Brussels Airlines;SN;SN3819
Brussels Airlines;SN;SN3809
Brussels Airlines;SN;SN3811
Brussels Airlines;SN;SN465
Brussels Airlines;SN;SN467
Brussels Airlines;SN;SN491
Brussels Airlines;SN;SN201
Brussels Airlines;SN;SN203
Brussels Airlines;SN;SN205
Brussels Airlines;SN;SN241
Brussels Airlines;SN;SN245
Brussels Airlines;SN;SN397
Brussels Airlines;SN;SN3343
Brussels Airlines;SN;SN3771
Brussels Airlines;SN;SN3773
Brussels Airlines;SN;SN3697
Brussels Airlines;SN;SN3703
Brussels Airlines;SN;SN3705
Brussels Airlines;SN;SN3711
Brussels Airlines;SN;SN3793
Brussels Airlines;SN;SN3783
Brussels Airlines;SN;SN3799
Brussels Airlines;SN;SN3777
Brussels Airlines;SN;SN3787
Brussels Airlines;SN;SN3721
Brussels Airlines;SN;SN3727
Brussels Airlines;SN;SN3729
Brussels Airlines;SN;SN3731
Brussels Airlines;SN;SN3733
Brussels Airlines;SN;SN3735
Brussels Airlines;SN;SN3737
Brussels Airlines;SN;SN3765
Brussels Airlines;SN;SN3767
Brussels Airlines;SN;SN3781
Brussels Airlines;SN;SN3751
Brussels Airlines;SN;SN3753
Brussels Airlines;SN;SN2317
Brussels Airlines;SN;SN2319
Brussels Airlines;SN;SN2291
Brussels Airlines;SN;SN2293
Brussels Airlines;SN;SN2297
Brussels Airlines;SN;SN2711
Brussels Airlines;SN;SN2713
Brussels Airlines;SN;SN2721
Brussels Airlines;SN;SN2723
Brussels Airlines;SN;SN2725
Brussels Airlines;SN;SN2729
Brussels Airlines;SN;SN2731
Brussels Airlines;SN;SN3885
Brussels Airlines;SN;SN3893
Brussels Airlines;SN;SN2047
Brussels Airlines;SN;SN2063
Brussels Airlines;SN;SN2093
Brussels Airlines;SN;SN2095
Brussels Airlines;SN;SN2103
Brussels Airlines;SN;SN2105
Brussels Airlines;SN;SN2173
Brussels Airlines;SN;SN2183
Brussels Airlines;SN;SN501
Brussels Airlines;SN;SN515
Qatar Airways;QR;QR1380
Qatar Airways;QR;QR1491
Qatar Airways;QR;QR286
Qatar Airways;QR;QR915
Qatar Airways;QR;QR899
Qatar Airways;QR;QR905
Qatar Airways;QR;QR989
Qatar Airways;QR;QR901
Qatar Airways;QR;QR909
Qatar Airways;QR;QR184
